Rank,Blockchain,Total Value Locked DeFi,Stablecoins Mcap,Chain Fees 24h,Chain Revenue 24h,App Revenue 24h,App Fees 24h,DEXs Volume 24h,Perps Volume 24h,Inflows 24h,Active Addresses 24h,Total Raised,Bridged TVL,NFT Volume 24h,Token Price,Market Cap,FDV,TVL Score,Fee Score,Volume Score,Total Score
1,Ethereum,197'420'000'000.00,163'798'000'000.00,607'146.00,179'891.00,11'136'000.00,22'260'000.00,3'980'000'000.00,585'000'000.00,191'000'000.00,472'452.00,18'400'000.00,475'521'000'000.00,0,4'300.00,481'350'000'000.00,481'350'000'000.00,100,3.1,100,68.3
2,Solana,14'904'000'000.00,13'128'000'000.00,1'000'000.00,152'425.00,5'590'000.00,11'980'000.00,4'980'000'000.00,1'616'000'000.00,8'780'000.00,2'230'000.00,315'760'000.00,47'921'000'000.00,656'254.00,199.73,108'580'000'000.00,124'014'000'000.00,7.5,69.4,100,61.6
3,BNB Chain,12'988'000'000.00,12'621'000'000.00,1'440'000.00,143'984.00,1'720'000.00,3'850'000.00,4'880'000'000.00,585'210'000.00,21'740'000.00,2'890'000.00,10'000'000.00,24'771'000'000.00, -   ,970.13,135'240'000'000.00,135'240'000'000.00,6.6,73.7,98,61.3
4,Bitcoin,10'346'000'000.00, -   ,321'171.00,321'171.00,7'145.00,6'486.00,823'753.00,26'000'000.00,12'499.00,682'109.00, -   , -   , -   ,109'418.00,2'180'000'000'000.00,2'180'000'000'000.00,5.2,22.3,4,9.8
5,Base,8'906'000'000.00,4'430'000'000.00,177'489.00,173'128.00,1'120'000.00,2'950'000.00,1'371'000'000.00,898'140'000.00, -   ,866'857.00, -   ,20'238'000'000.00, -   , -   , -   , -   ,4.5,9.1,27.5,14.1
6,Arbitrum,5'822'000'000.00,3'336'000'000.00,135'817.00,37'691.00,4'830'000.00,9'650'000.00,4'980'000'000.00,1'616'000'000.00, -   , -   , -   , -   , -   ,0.41,2'220'000'000.00,10'610'000'000.00,2.9,9.4,100,39.4
7,Hyperliquid,5'130'000'000.00,6'105'000'000.00,3'380'000.00,2'890'000.00,2'890'000.00,3'380'000.00,1'103'000'000.00,10'094'000'000.00, -   , -   , -   ,10'264'000'000.00, -   ,43.25,11'710'000'000.00,43'109'000'000.00,2.6, -   ,22.3,8.8
8,Avalanche,3'607'000'000.00,1'478'000'000.00,71'387.00,71'387.00,360'172.00,830'999.00,1'174'000'000.00,12'240'000.00,16'360'000.00,47'606.00, -   ,7'047'000'000.00, -   ,28.05,11'850'000'000.00,14'150'000'000.00,1.8,3.7,23.6,10.3
9,Linea,3'616'000'000.00,200'710'000.00,30'911.00,30'911.00,201'811.00,426'292.00,201'710'000.00,23'850'000.00,1'370'000.00, -   , -   ,3'433'000'000.00, -   ,0.02771, -   , -   ,1.8,1.6,4,2.5
10,Sui,2'703'000'000.00,575'540'000.00,17'849.00,17'849.00,112'787.00,411'899.00,419'830'000.00,94'920'000.00,784'915.00, -   , -   ,1'387'000'000.00, -   ,3.11,11'100'000'000.00,32'274'000'000.00,1.4,0.9,8.4,3.6
11,Polygon,1'471'000'000.00,2'975'000'000.00,9'187.00,9'020.00,253'613.00,330'872.00,113'070'000.00,1'140'000.00,2'720'000.00,565'121.00,451'000'000.00,4'616'000'000.00,332'079.00,0.22,2'328'000'000.00,2'328'000'000.00,0.7,0.5,2.3,1.1
12,Aptos,953'010'000.00,1'021'000'000.00,3'011.00,3'011.00,742'602.00,824'742.00,166'360'000.00,85'180'000.00, -   , -   ,350'000'000.00,51'670'000.00, -   ,4.08,2'860'000'000.00,4'876'000'000.00,0.5,0.2,3.3,1.4
13,Berachain,1'060'000'000.00,118'300'000.00,641,641,21'832.00,98'594.00,16'680'000.00,2'009.00,978'122.00, -   ,142'000'000.00,714'650'000.00, -   ,2.55, -   , -,0.5,0,0.3,0.3
14,Optimism,676'150'000.00,663'420'000.00,7'602.00,7'501.00,25'679.00,67'733.00,65'600'000.00,47'644.00, -   , -   , -   ,2'118'000'000.00, -   ,0.6552, -   , -   ,0.3,0.4,1.3,0.7
15,Tron,6'254'000'000.00,77'084'000'000.00,1'250'000.00,1'250'000.00,23'381.00,105'371.00,67'350'000.00, -   ,94'533.00,2'550'000.00, -   ,79'925'000'000.00, -   ,0.34,31'810'000'000.00,31'810'000'000.00,3.2,64,1.4,22
16,Cardano,343'830'000.00,38'160'000.00, -   , -   ,9'687.00,12'971.00,3'800'000.00,9'720'000.00, -   ,24'195.00,62'240'000.00, -   ,30'463.00,0.77,28'030'000'000.00,35'211'000'000.00,0.2, -   ,0.1,0.1
17,Near,225'510'000.00,190'250'000.00,9'209.00,9'209.00,1'429.00,7'215.00,55'990'000.00, -   , -   , -   ,33'700'000.00, -   , -   ,2.66,3'330'000'000.00,3'454'000'000.00,0.1,0.5,1.1,0.6
18,Starknet,190'920'000.00,88'120'000.00,6'694.00,6'694.00,2'821.00, -   ,5'150'000.00,364'880'000.00,9.61, -   ,282'500'000.00,279'110'000.00, -   ,0.12,480'000'000.00,1'215'000'000.00,0.1,0.3,7.3,2.7
19,Cosmos Hub,356'926.00, -   , -   , -   ,1'173.00,13'971.00, -   , -   , -   , -   , -   , -   , -   ,4.04,1'900'000'000.00,1'900'000'000.00, -   , -   , -   ,0
20,Sei,864'650'000.00,144'850'000.00,731,731,34'757.00,130'517.00,39'610'000.00,167'459.00,391'949.00, -   ,35'000'000.00, -   , -   ,0.27,1'650'000'000.00,2'765'000'000.00,0.4,0.1,0.6,0.4
21,ZKsync,89'960'000.00,58'180'000.00,1'491.00,1'491.00,12'442.00,15'478.00,1'060'000.00,122'180'000.00,972'335.00, -   ,200'000'000.00,256'830'000.00, -   ,0.05,350'000'000.00,1'052'000'000.00,0,0.1,1.9,0.7
22,Taiko,3'690'000.00,1'690'000.00, -   , -   , -   , -   ,2'018.00, -   ,5'796.00, -   , -   ,12'400'000.00, -   ,0.34,60'000'000.00,60'000'000.00, -   , -   , -   , -   
23,Algorand,102'460'000.00,47'410'000.00, -   , -   , -   , -   ,803'093.00, -   ,1'536.00,38'415.00,126'000'000.00, -   , -   ,0.2,1'770'000'000.00,1'770'000'000.00,0.1, -   ,0.02,0.03
24,Fantom,16'480'000.00,322'490'000.00,9,0,0,0,47'965.00, -   ,10'635.00, -   ,50'000'000.00, -   , -   ,0.24,780'000'000.00,780'040'000.00,0,0,0,0
25,Plasma,11'337'000'000.00,5'382'000'000.00, -   , -   ,49'069.00,629'091.00,351'410'000.00, -   , -   , -   , -   , -   , -   ,1.56,2'872'000'000.00,15'552'000'000.00,5.7, -   ,7.1,4.4
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
